iter	Huber:delta=3000
0	0.5296169566
1	0.4457782211
2	0.3762494706
3	0.3168434884
4	0.2702070895
5	0.2298319331
6	0.195780693
7	0.1673924019
8	0.1449073325
9	0.1259691394
10	0.1105008194
11	0.09714260237
12	0.08584682445
13	0.07682814211
14	0.06893996745
15	0.0625396919
16	0.05690006474
17	0.05213461987
18	0.04801998803
19	0.04447246469
20	0.04137391588
21	0.03870915488
22	0.03630325703
23	0.03440133265
24	0.03261726594
25	0.03104844179
26	0.02963198063
27	0.02840268999
28	0.02737303952
29	0.02637128682
30	0.02548825539
31	0.02464596101
32	0.02390120416
33	0.0232311142
34	0.02263978793
35	0.02198425945
36	0.02138578135
37	0.02086854656
38	0.02046303803
39	0.02003637386
40	0.01966107109
41	0.01928698453
42	0.01889964607
43	0.01855458723
44	0.01824894125
45	0.01793509193
46	0.01761920389
47	0.01735875504
48	0.01709881132
49	0.01682864778
50	0.01660974735
51	0.01636248246
52	0.01615917864
53	0.01595415603
54	0.01571362857
55	0.01554189883
56	0.01538744691
57	0.01522387246
58	0.01509161052
59	0.01492883266
60	0.01471261713
61	0.01454755184
62	0.01445561386
63	0.01427507529
64	0.01406637665
65	0.01391797816
66	0.01379507013
67	0.01366037288
68	0.01346514417
69	0.0133420539
70	0.01313850889
71	0.01303748571
72	0.01285785954
73	0.01278682713
74	0.01265522827
75	0.01250676831
76	0.01244526929
77	0.01235513908
78	0.01228697691
79	0.0121862111
80	0.01205136043
81	0.01190365183
82	0.01181120188
83	0.01172338926
84	0.01164390145
85	0.01146740296
86	0.01136958728
87	0.01130302469
88	0.01114398167
89	0.01102027867
90	0.01097953359
91	0.01085872708
92	0.01077822273
93	0.01068768087
94	0.01059097511
95	0.01051440781
96	0.01043292548
97	0.0103644144
98	0.01032767212
99	0.01021074766
100	0.01017603151
101	0.01008410721
102	0.009998020702
103	0.009903933824
104	0.009843168281
105	0.009730759047
106	0.009643219925
107	0.009602069861
108	0.009553881909
109	0.009477900361
110	0.00939908997
111	0.009313467708
112	0.009256181008
113	0.009135414049
114	0.009073516515
115	0.008986920306
116	0.008947895197
117	0.008883808285
118	0.008806219267
119	0.008750137982
120	0.008644182139
121	0.008567058157
122	0.008540647172
123	0.008481241511
124	0.008431263107
125	0.008347823082
126	0.008288431755
127	0.008259626128
128	0.008205359402
129	0.008128552353
130	0.008094599499
131	0.00802338519
132	0.007997656051
133	0.00794482041
134	0.007892059736
135	0.007816461449
136	0.007730406447
137	0.007667129619
138	0.007647678311
139	0.007573268257
140	0.0075004251
141	0.007449208867
142	0.007394538879
143	0.00736097045
144	0.007294487494
145	0.007228430506
146	0.007186366957
147	0.007129566201
148	0.007066731817
149	0.00703181565
150	0.006986130222
151	0.006937300575
152	0.006870894818
153	0.006826892702
154	0.006756054115
155	0.006720397939
156	0.006690107287
157	0.006639713341
158	0.006597584257
159	0.006568683042
160	0.006527484654
161	0.006484790806
162	0.006434427477
163	0.006385194397
164	0.006337278769
165	0.006310201219
166	0.006267566617
167	0.006226136403
168	0.006178752101
169	0.006154029093
170	0.006116095338
171	0.006082144618
172	0.006077359649
173	0.006028630957
174	0.005979742631
175	0.005975278989
176	0.005934500091
177	0.005906494075
178	0.005902412913
179	0.005867584483
180	0.005844154828
181	0.005803003722
182	0.005770251972
183	0.005716717962
184	0.005682665399
185	0.005642755641
186	0.005602807434
187	0.005553968694
188	0.005527430812
189	0.005523761118
190	0.00546682683
191	0.005436931396
192	0.005394575978
193	0.005339728229
194	0.005309995574
195	0.005307425639
196	0.005269892373
197	0.005235593317
198	0.00520671386
199	0.005204330093
200	0.005171677581
201	0.005137710479
202	0.005100881624
203	0.005065656457
204	0.005033242751
205	0.0050106769
206	0.004986976173
207	0.004963121033
208	0.004937935274
209	0.004918453224
210	0.004916432815
211	0.004899877185
212	0.004892998112
213	0.004847160229
214	0.004827014886
215	0.004811288016
216	0.004779805639
217	0.004757314794
